candidate_id,year,poll_type,source_file,source_page,voter_group_type,voter_group,party_or_alliance,vote_share,extraction_confidence,evidence_text,review_decision,review_notes
d2db220b-1ef1-45f4-b258-35a681f120c3,2024,post_poll,post-poll/2024/postpoll_study_2024.pdf,6,age,col_25,BJP,100.0,medium,Social and Political Barometer Posttpoll Study 2024-Survey Findings N (%) 03: Equal rights to everyone 6836 34.8 98: Don’t Know/Can’t Say 1567 8.0 Total 19663 100.0 Q8a: Now let us talk about the election campaign during this election. How interested,,
30293323-5162-4f4a-a137-85e9757f4f07,2024,post_poll,post-poll/2024/postpoll_study_2024.pdf,6,age,col_25,INC,100.0,medium,Social and Political Barometer Posttpoll Study 2024-Survey Findings N (%) 03: Equal rights to everyone 6836 34.8 98: Don’t Know/Can’t Say 1567 8.0 Total 19663 100.0 Q8a: Now let us talk about the election campaign during this election. How interested,,
fa0be0c2-4d4c-4994-ba88-1de9971b7da5,2024,post_poll,post-poll/2024/postpoll_study_2024.pdf,6,age,col_25,BJP,100.0,medium,Social and Political Barometer Posttpoll Study 2024-Survey Findings N (%) 03: Equal rights to everyone 6836 34.8 98: Don’t Know/Can’t Say 1567 8.0 Total 19663 100.0 Q8a: Now let us talk about the election campaign during this election. How interested,,
4169a343-e668-4440-aade-264f683c0fbd,2024,post_poll,post-poll/2024/postpoll_study_2024.pdf,6,age,col_25,INC,100.0,medium,Social and Political Barometer Posttpoll Study 2024-Survey Findings N (%) 03: Equal rights to everyone 6836 34.8 98: Don’t Know/Can’t Say 1567 8.0 Total 19663 100.0 Q8a: Now let us talk about the election campaign during this election. How interested,,
57c136f0-9f36-48b2-980e-488df9133318,2019,post_poll,post-poll/2019/postpoll_results_2019.pdf,169,electorate,all india,INC,12.0,low,All India Postpoll NES 2019-Survey Findings N (%) 8: No response 11 1.7 Total 615 100.0 b: BJP N (%) 1: No 497 80.9 2: Yes 35 5.8 7: Can't say 71 11.6 8: No response 11 1.7 Total 615 100.0 c: PDP N (%) 1: No 513 83.5 2: Yes 17 2.8 7: Can't say 73 11.,,
1c7c31a7-9e1e-494e-8624-06082d927245,2019,post_poll,post-poll/2019/postpoll_results_2019.pdf,169,electorate,all india,BJP,8.3,low,All India Postpoll NES 2019-Survey Findings N (%) 8: No response 11 1.7 Total 615 100.0 b: BJP N (%) 1: No 497 80.9 2: Yes 35 5.8 7: Can't say 71 11.6 8: No response 11 1.7 Total 615 100.0 c: PDP N (%) 1: No 513 83.5 2: Yes 17 2.8 7: Can't say 73 11.,,
a3dd8989-613d-4651-9742-8b19433612cd,2019,post_poll,post-poll/2019/postpoll_results_2019.pdf,169,electorate,all india,BSP,70.0,low,All India Postpoll NES 2019-Survey Findings N (%) 8: No response 11 1.7 Total 615 100.0 b: BJP N (%) 1: No 497 80.9 2: Yes 35 5.8 7: Can't say 71 11.6 8: No response 11 1.7 Total 615 100.0 c: PDP N (%) 1: No 513 83.5 2: Yes 17 2.8 7: Can't say 73 11.,,
0e7d90d8-95e2-451c-a750-0cc2bb074297,2019,post_poll,post-poll/2019/postpoll_results_2019.pdf,169,electorate,all india,TMC,10.0,low,All India Postpoll NES 2019-Survey Findings N (%) 8: No response 11 1.7 Total 615 100.0 b: BJP N (%) 1: No 497 80.9 2: Yes 35 5.8 7: Can't say 71 11.6 8: No response 11 1.7 Total 615 100.0 c: PDP N (%) 1: No 513 83.5 2: Yes 17 2.8 7: Can't say 73 11.,,
2290a2e5-1367-4186-9611-ed3d9a84dedb,2019,post_poll,post-poll/2019/postpoll_results_2019.pdf,169,electorate,all india,AAP,0.0,low,All India Postpoll NES 2019-Survey Findings N (%) 8: No response 11 1.7 Total 615 100.0 b: BJP N (%) 1: No 497 80.9 2: Yes 35 5.8 7: Can't say 71 11.6 8: No response 11 1.7 Total 615 100.0 c: PDP N (%) 1: No 513 83.5 2: Yes 17 2.8 7: Can't say 73 11.,,
06e496bb-5308-41ff-8a58-2a46090f640d,2019,post_poll,post-poll/2019/postpoll_results_2019.pdf,169,electorate,all india,SP,0.0,low,All India Postpoll NES 2019-Survey Findings N (%) 8: No response 11 1.7 Total 615 100.0 b: BJP N (%) 1: No 497 80.9 2: Yes 35 5.8 7: Can't say 71 11.6 8: No response 11 1.7 Total 615 100.0 c: PDP N (%) 1: No 513 83.5 2: Yes 17 2.8 7: Can't say 73 11.,,
06e473b4-1125-43f6-887d-b977bb6adc94,2019,post_poll,post-poll/2019/postpoll_results_2019.pdf,169,electorate,all india,Others,1.1,low,All India Postpoll NES 2019-Survey Findings N (%) 8: No response 11 1.7 Total 615 100.0 b: BJP N (%) 1: No 497 80.9 2: Yes 35 5.8 7: Can't say 71 11.6 8: No response 11 1.7 Total 615 100.0 c: PDP N (%) 1: No 513 83.5 2: Yes 17 2.8 7: Can't say 73 11.,,
