year,poll_type,source,source_file,source_page,geography_level,state,voter_group_type,voter_group,party_or_alliance,vote_share,confidence,data_origin,approval_status,evidence_text,notes,curation_status,conflict_review_needed
2019,post_poll,CSDS-Lokniti National Election Study,2019_post_poll_table_174.csv,,national,,age,,INC,5.2,medium,legacy_auto,needs_review,nan | 2: Being Inclusive & Secular,legacy generic extraction; superseded by taxonomy when high confidence,untrusted,False
2019,post_poll,CSDS-Lokniti National Election Study,2019_post_poll_table_160.csv,,national,,age,,NDA,5.0,medium,legacy_auto,needs_review,nan | 14: Deendayal Disabled Rehabilitation Scheme,legacy generic extraction; superseded by taxonomy when high confidence,untrusted,False
2019,post_poll,CSDS-Lokniti National Election Study,2019_post_poll_table_174.csv,,national,,age,,Regional,6.9,medium,legacy_auto,needs_review,nan | 9: Can't say/No response,legacy generic extraction; superseded by taxonomy when high confidence,untrusted,False
2019,post_poll,CSDS-Lokniti National Election Study,2019_post_poll_table_160.csv,,national,,age,,UPA,27.0,medium,legacy_auto,needs_review,nan | 11: Deen Dayal Upadhyaya Antyodaya Yojana,legacy generic extraction; superseded by taxonomy when high confidence,untrusted,False
2019,post_poll,CSDS-Lokniti National Election Study,2019_post_poll_table_145.csv,,national,,caste,Valid,INC,7.9,medium,legacy_auto,needs_review,Valid | 1: Increased,legacy generic extraction; superseded by taxonomy when high confidence,untrusted,False
2019,post_poll,CSDS-Lokniti National Election Study,2019_post_poll_table_176.csv,,national,,caste,Valid,Regional,35.3,medium,legacy_auto,needs_review,Valid | 1: No 2: Yes 7: Can't say 8: No response Total,legacy generic extraction; superseded by taxonomy when high confidence,untrusted,False
2019,post_poll,CSDS-Lokniti National Election Study,2019_post_poll_table_047.csv,,national,,caste,,BJP,17.0,medium,legacy_auto,needs_review,nan | 24: Any other BJP leader,legacy generic extraction; superseded by taxonomy when high confidence,untrusted,False
2019,post_poll,CSDS-Lokniti National Election Study,2019_post_poll_table_047.csv,,national,,caste,,INC,74.0,medium,legacy_auto,needs_review,nan | 08: P Chidambaram (INC),legacy generic extraction; superseded by taxonomy when high confidence,untrusted,False
2019,post_poll,CSDS-Lokniti National Election Study,2019_post_poll_table_047.csv,,national,,caste,,INDIA,56.0,medium,legacy_auto,needs_review,nan | 14: Jyotiraditya Scindia,legacy generic extraction; superseded by taxonomy when high confidence,untrusted,False
2019,post_poll,CSDS-Lokniti National Election Study,2019_post_poll_table_047.csv,,national,,caste,,NDA,100.0,medium,legacy_auto,needs_review,nan | 42: Sarabananda Sonowal (Assam),legacy generic extraction; superseded by taxonomy when high confidence,untrusted,False
2019,post_poll,CSDS-Lokniti National Election Study,2019_post_poll_table_005.csv,,national,,caste,,Others,80.0,medium,legacy_auto,needs_review,nan | 96: Others,legacy generic extraction; superseded by taxonomy when high confidence,untrusted,False
2019,post_poll,CSDS-Lokniti National Election Study,2019_post_poll_table_005.csv,,national,,caste,,Regional,9.8,medium,legacy_auto,needs_review,nan | 02: Newspapers,legacy generic extraction; superseded by taxonomy when high confidence,untrusted,False
2019,post_poll,CSDS-Lokniti National Election Study,2019_post_poll_table_031.csv,,national,,gender,,BJP,81.0,medium,legacy_auto,needs_review,nan | 28: Vote against Modi or BJP,legacy generic extraction; superseded by taxonomy when high confidence,untrusted,False
2019,post_poll,CSDS-Lokniti National Election Study,2019_post_poll_table_448.csv,,national,,gender,,INC,32.0,medium,legacy_auto,needs_review,nan | 001: INC,legacy generic extraction; superseded by taxonomy when high confidence,untrusted,False
2019,post_poll,CSDS-Lokniti National Election Study,2019_post_poll_table_033.csv,,national,,gender,,INDIA,8.0,medium,legacy_auto,needs_review,nan | 87: Improving India’s image in the world,legacy generic extraction; superseded by taxonomy when high confidence,untrusted,False
2019,post_poll,CSDS-Lokniti National Election Study,2019_post_poll_table_197.csv,,national,,gender,,NDA,100.0,medium,legacy_auto,needs_review,"nan | 403: Bandari Naik, Gabit, Gosavi",legacy generic extraction; superseded by taxonomy when high confidence,untrusted,False
2019,post_poll,CSDS-Lokniti National Election Study,2019_post_poll_table_031.csv,,national,,gender,,Others,29.0,medium,legacy_auto,needs_review,nan | 32: Vote against any other party or leader,legacy generic extraction; superseded by taxonomy when high confidence,untrusted,False
2019,post_poll,CSDS-Lokniti National Election Study,2019_post_poll_table_031.csv,,national,,gender,,Regional,67.0,medium,legacy_auto,needs_review,"nan | 17: Transport services – buses, trains, flights",legacy generic extraction; superseded by taxonomy when high confidence,untrusted,False
